Object,Count,object.corrected,check.again,viewed.image,checker,comments,
bowl of tubers,5,pot,0,1,KC,,
cable,5,rope,0,1,KC,,
embroidery circle,5,embroidery ring,0,0,KC,,
gold action figure,5,action figure,0,0,KC,,
hanger,5,hanger,0,0,KC,,
large white bag,5,bulk food bag,0,1,KC,,
leaf wrap,5,leaf wrapper,0,0,KC,,
lime dipping stick,5,lime dipping stick,0,0,KC,,
pill package,5,pill package,0,0,KC,,
pipe,5,metal pipe,0,1,KC,,
plastic wrapper,5,NA,0,1,KC,added to corrections.csv,
purple cup,5,toy teacup,0,1,KC,,
rebar fragment,5,rebar,0,0,KC,,
red bucket,5,bucket,0,0,KC,,
small white container,5,plastic bottle,0,0,KC,not drink-related,
stalk,5,stick,0,0,KC,,
toy dinosaur,5,toy dinosaur,0,0,KC,,
walky talky,5,walkie talkie,0,0,KC,,
white medicine box,5,cardboard packaging,0,1,KC,,
wooden tool,5,stick,0,1,KC,,
workbook,5,book,0,0,KC,,
bag handle,6,NA,0,0,KC,added to corrections.csv,
black fabric object,6,NA,0,0,KC,added to corrections.csv,
blue bucket,6,bucket,0,0,KC,,
candy wrapper,6,candy,0,0,KC,,
canned food,6,canned food,0,1,KC,,
cat,6,cat,0,0,KC,,
chapstick container,6,chapstick,0,0,Kc,,
coin,6,money,0,0,KC,,
crab shell,6,shell,0,0,KC,,
dog,6,dog,0,0,KC,,
dried mud chunk,6,dried mud chunk,0,1,KC,,
EXCLUDE - MC present,6,NA,0,0,KC,,
firewood,6,firewood,0,0,KC,,
fishnet,6,fishnet,0,0,KC,,
football,6,ball,0,0,KC,,
fork,6,fork,0,0,KC,,
fruit? ball?,6,fruit (unknown variety),0,1,KC,,
gauva,6,guava,0,0,KC,,
grinder,6,grinder,0,0,KC,,
hair clip,6,hair clip,0,0,KC,,
harvesting tool,6,knife-W,0,1,KC,,
iron crowbar,6,rebar,0,1,KC,,
jars,6,canned food,0,1,KC,,
jelly cup,6,jelly cup,0,0,KC,,
keychain,6,keychain,0,1,KC,,
lantern,6,lantern,0,0,KC,,
leaf stalk,6,plant,0,1,KC,,
lightbulb,6,lightbulb,0,0,KC,,
magazine,6,magazine,0,1,KC,,
manioc,6,tuber,0,0,KC,,
metal object,6,NA,0,1,KC,added to corrections.csv,
metal ring,6,NA,0,1,KC,added to corrections.csv,
mobile,6,mobile,0,1,KC,possibly a better label but doesn't overlap with any of the others so okay,
mosquito net,6,mosquito net,0,1,KC,,
paint,6,paint,0,1,KC,,
patio edge (concrete ground),6,patio edge,0,1,KC,,
patterned cloth,6,purse,0,1,KC,,
piece of metal,6,metal fragment,0,0,KC,,
pink candy,6,candy,0,0,KC,,
pit,6,ball,1,0,KC,"could be another synthetic object, definitely not avocado pit",
powdered juice,6,juice powder,0,1,KC,,
rambaten,6,rambutan,0,0,KC,,
red berry,6,berry,0,1,KC,,
rubber bracelet,6,bracelet,0,0,KC,,
rubber duck,6,rubber duck,0,0,KC,,
screwdriver,6,screwdriver,0,0,KC,,
shield,6,shield,0,1,KC,,
small green object,6,NA,0,1,KC,added to corrections.csv,
small green/blue animal head,6,NA,0,1,KC,added to corrections.csv,
small grey object,6,NA,0,1,KC,added to corrections.csv,
small metal object,6,NA,0,1,KC,added to corrections.csv,
